"ID","Name","Buildings","Grade","Structure","Principal","Greenback"
1,"Albert Road, Former Theatre Royal",1,"Two",0,1,1
2,"Albert Road, Presbytery of Sacred Heart Church",1,"Two",0,1,2
3,"Albert Road, Church of The Sacred Heart",1,"Two",0,1,3
4,"Alum Chine Road, Westbourne Library",1,"Two",0,1,4
5,"Alumhurst Road, 49, Lodge to Herbert Hospital",1,"Two",0,1,5
6,"Alumhurst Road, Herbert Hospital & Summerhouse",6,"Two",0,2,6
7,"Alumhurst Road, 92, Old Lodge",1,"Two",0,1,7
8,"Alumhurst Road, Branksome Dene",1,"Two",0,1,8
9,"Bath Road, Royal Bath Hotel",1,"Two",0,1,9
10,"Beacon Road, Highcliff Houses",6,"Two",0,6,10
11,"Benellen Avenue, 1, Tower Gates",1,"Two",0,1,11
12,"Bennett Road, Church of Saint Andrew",1,"C",0,1,12
13,"Berry Lane, Muccleshell Farm",2,"Two",0,1,13
14,"Bodorgan Road, 23, ""Saint Cross""",1,"Two",0,1,14
15,"Bourne Avenue, Richmond Hill United Reformed Church",3,"Two",0,2,15
16,"Braidley Road, 20, ""Ouplaymoor""",1,"Two",0,1,16
17,"Broadway Lane, 209, The Manse",1,"Two",0,1,17
18,"Broadway Lane, 228, The Shack",1,"Two",0,1,18
19,"Broadway Lane, Gas Street Lamp",0,"Two",1,0,19
20,"Broadway Lane, Gas Street Lamp",0,"Two",1,0,19
21,"Castlemain Avenue, Church of All Saints",1,"B",0,1,20
22,"Cavendish Road, Dean Park Cricket Ground",4,"Two",0,1,21
23,"Charminster Road, Church of The Annunciation",3,"Two*",0,1,22
24,"Charminster Road, Church of Saint Alban",2,"B",0,1,23
25,"Chaseside, Littledown House",1,"Two",0,1,24
26,"Christchurch Road, College and Public Library",5,"Two",0,2,25
27,"Christchurch Road, 39, Natural Science Society",1,"Two",0,1,26
28,"Christchurch Road, 62, Chine Pines",3,"Two",0,1,27
29,"Christchurch Road, 443 - 451",5,"Two",0,5,28
30,"Christchurch Road, Church of Saint John The Evangelist",2,"B",0,1,29
31,"Christchurch Road, 506",1,"Two",0,1,30
32,"Christchurch Road, 562 - 566, Royal Arcade",30,"Two",0,1,31
33,"Christchurch Road, 568 - 578 Former Boscombe Hippodrome",5,"Two",0,1,32
34,"Christchurch Road, 755, Portman Lodge",1,"Two",0,1,33
35,"Christchurch Road, Corpus Christi Roman Catholic Church",2,"Two",0,1,34
36,"Christchurch Road, Church of Saint James",1,"B",0,1,35
38,"Church Lane, Holdenhurst, 21 & 22",2,"Two",0,2,36
39,"Church Road, Church of Saint Katharine",2,"C",0,1,38
40,"Columbia Road, 74, ""Lollipop Farmhouse""",1,"Two",0,1,39
41,"Commercial Road, 152 - 154, Branksome Arms",1,"Two",0,1,40
42,"Derby Road, 26, Langtry Manor Hotel",1,"Two",0,1,41
43,"Douglas Mews, 30 - 40, Stourfield House stairs",0,"Two",1,0,42
44,"Durley Road, 3, Washington Hotel",1,"Two",0,1,43
45,"Durley Road, 5, Durley Court",1,"Two",0,1,43
46,"East Howe Lane, The Thatched House",1,"Two",0,1,44
47,"East Howe Lane, 119 & 121, Primrose Cottages",2,"Two",0,2,45
48,"Exeter Road, Saint Andrew's United Reformed Church",2,"Two",0,1,46
49,"Exeter Road, Royal Exeter Hotel",1,"Two",0,1,47
50,"Exeter Road, Brookside & Brookside Cottage",1,"Two",0,1,48
51,"Florence Road, Church of Saint Andrew",1,"B",0,1,49
52,"Gervis Place, 13-17, Westover Mansions and shops",2,"Two",0,2,50
53,"Gervis Place, 14, Gervis Hall",1,"Two",0,1,51
54,"Gervis Place, 18, Dingles",1,"Two",0,1,52
55,"Gervis Road, 18, Ascham House",3,"Two",0,1,53
56,"Gervis Road, 24, Woodcote",1,"Two",0,1,54
57,"Gervis Road, 9, Earls Court",1,"Two",0,1,55
58,"Gervis Road, Church of Saint Swithun",1,"B",0,1,56
59,"Gervis Road, Saint Swithun's Church Hall",1,"Two",0,1,57
60,"Gloucester Road, East Cemetery Chapels",6,"Two",0,1,58
61,"Grove Road, 4, Gresham Court Hotel",1,"Two",0,1,59
62,"Hinton Road, Church of Saint Peter",1,"A",0,1,60
68,"Holdenhurst Road, 28 - 36 Former Fire Station",3,"Two",0,1,66
69,"Holdenhurst Road, East Cliff United Reformed Church",1,"Two",0,1,67
70,"Holdenhurst Road, Central Railway Station",3,"Two",0,1,68
73,"Holdenhurst Road, 224, Formerly Kosher Butcher's Shop",1,"Two",0,1,71
74,"Holdenhurst Road, adj 317, Gents' Lavatories",1,"Two",0,1,72
75,"Holdenhurst Road, 408-422 Church of Saint Mary",1,"Two",0,1,73
76,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
77,"Holdenhurst Village Street, 14, Former Blacksmiths",2,"Two",0,2,74
78,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
79,"Holdenhurst Village Street, School House",1,"Two",0,1,75
80,"Holdenhurst Village Street, The Old School House",2,"Two",0,1,76
81,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
82,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
83,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
84,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
85,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
86,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
87,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
88,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
89,"Holdenhurst Village Street, 16, ""New House""",2,"Two",0,1,77
90,"Holdenhurst Village Street, 17, ""Old House""",1,"Two",0,1,78
91,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
92,"Holdenhurst Village Street, 20, ""Hollyhurst""",1,"Two",0,1,79
93,"Holdebhurst Village Street, Church of Saint John",1,"B",0,1,80
97,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
98,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
100,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
101,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
102,"Holdenhurst Village Street, Gas Street Lamp",0,"Two",1,0,19
104,"Iford Lane, Pumping Station at The Old Water Works",6,"Two",0,1,84
105,"Iford Lane, Superintendent's House at The Old Water Works",1,"Two",0,1,85
106,"Ken Road, 7-11, Stourcliff House",1,"Two",0,1,86
107,"Knole Road, The Knole, Freemasons' Hall",2,"Two",0,1,87
108,"Littledown Drive, Littledown Lodge",1,"Two",0,1,88
109,"Manor Farm Road, 1, Kinson Vicarage",1,"Two",0,1,89
110,"Manor Farm Road, 102 & 103, Lady Wimborne Cottages",2,"Two",0,2,90
111,"Manor Farm Road, Manor Farmhouse",1,"Two",0,1,91
112,"Manor Farm Road, Manor Farmhouse gate piers and wall",0,"Two",1,0,92
113,"Mc William Road, 1 ""Moorside Cottage""",1,"Two",0,1,93
114,"Meyrick Road, Penfold Pillarbox at Gervis Road junction",0,"Two",1,0,94
115,"Meyrick Road, K6 Telephone Kiosks outside Library",0,"Two",4,0,95
116,"Millhams Road, Pelhams Community Centre",4,"Two",0,1,96
117,"Millhams Road, wall to Pelhams Community Centre",0,"Two",1,0,97
118,"Millhams Road, Church of Saint Andrew",1,"B",0,1,98
121,"Muscliff Lane, Muscliff House",1,"Two",0,1,101
122,"Muscliff Lane, Throop United Reformed Church",2,"Two",0,1,102
123,"Muscliff Lane, Throop United Reformed Church, Graveyard Wall",0,"Two",1,0,103
124,"Norwich Road, 11 & 13, Hill View Lodge",2,"Two",0,2,104
125,"Old Bridge Road, Iford Bridge & Causeway",0,"Two",1,0,105
