"School_Name","School_Address1","School_Address2","School_Town","School_Postcode","School_Telephone","School_Fax","School_Email","School_Status","School_Type","School_Sex","School_Xcoord","School_Ycoord"
"Moordown St. John's Church of England Primary School","Vicarage Road","Moordown","Bournemouth","BH9 2SA","527683","513877","moordownstjohnce@bournemouth.gov.uk","CE VA","Primary","Mixed","408553","94459"
"St. Clement's and St. John's Church of England Infant School","St Clement's Road","","Bournemouth","BH1 4DZ","393570","309287","stclementsstjohns@bournemouth.gov.uk","CE VA","Infants","Mixed","410831","92157"
"St. James' Church of England Primary School","Christchurch Road","","Bournemouth","BH7 6DW","426696","433073","stjamesce@bournemouth.gov.uk","CE VA","Primary","Mixed","412670","92547"
"St. Katharine's Church of England Primary School","Rolls Drive","Southbourne","Bournemouth","BH6 4NA","426663","430047","stkatharinesce@bournemouth.gov.uk","CE VA","Primary","Mixed","415716","91624"
"St. Mark's Church of England Aided Primary School","Talbot Village","","Bournemouth","BH10 4JA","512241","532584","stmarksce@bournemouth.gov.uk","CE VA","Primary","Mixed","407139","94054"
"The Epiphany Church of England Primary School","Shillingstone Drive","Muscliff","Bournemouth","BH9 3PE","530960","547377","epiphanyce@bournemouth.gov.uk","CE VA","Primary","Mixed","409828","95869"
"Bethany Church of England Junior School","Knole Road","","Bournemouth","BH1 4DJ","302406","391947","bethanyce@bournemouth.gov.uk","CE VA","Junior","Mixed","410700","92039"
"Corpus Christi Catholic Primary School","St James' Square","Boscombe","Bournemouth","BH5 2BX","427544","425592","corpuschristirc@bournemouth.gov.uk","RC VA","Primary","Mixed","412127","91998"
"St. Walburga's Catholic Primary School","Malvern Road","","Bournemouth","BH9 3BY","528811","532875","stwalburgas@bournemouth.gov.uk","RC VA","Primary","Mixed","409645","94450"
"Christ the King Catholic Primary School","Durdells Avenue","Kinson","Bournemouth","BH11 9EH","574277","594114","christthekingrc@bournemouth.gov.uk","RC VA","Primary","Mixed","406297","96334"
"St. Luke's Church of England Primary School","Bemister Road","Winton","Bournemouth","BH9 1LG","514396","521523","stlukesce@bournemouth.gov.uk","Community","Primary","Mixed","409004","93825"
