"UPRN","ORGANISATION","Sub_Building_No","Sub_Building_Name","Building_Number","THOROUGHFARE","LOCALITY","TOWN","POSTCODE","FULL_ADDRESS","WARD_NAME","PRIMARY_DESCRIPTION","SECONDARY_DESCRIPTION","TERTIARY_DESCRIPTION","X","Y","LOGICAL_STATUS","RPA_DESCRIPTION","PARTIAL_ADDRESS"
10022904993,"","","TUCKTON ROAD PUBLIC CONVENIENCIES","","TUCKTON ROAD","","BOURNEMOUTH","","TUCKTON ROAD PUBLIC CONVENIENCIES, TUCKTON ROAD, BOURNEMOUTH","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",414794.0000,92099.0000,"Approved Preferred","Visual centre","TUCKTON ROAD PUBLIC CONVENIENCIES, TUCKTON ROAD"
10023870288,"","PUBLIC CONVENIENCES","BOSCOMBE BUS STATION","","ASHLEY ROAD","","BOURNEMOUTH","","PUBLIC CONVENIENCES, BOSCOMBE BUS STATION, ASHLEY ROAD, BOURNEMOUTH","BOSCOMBE WEST","Commercial","Community Services","Public Conveniences",411533.6900,92065.0200,"Approved Preferred","Visual centre","BOSCOMBE BUS STATION, ASHLEY ROAD"
10023870289,"","","KINGS PARK PUBLIC CONVENIENCES","","ASHLEY ROAD","","BOURNEMOUTH","","KINGS PARK PUBLIC CONVENIENCES, ASHLEY ROAD, BOURNEMOUTH","LITTLEDOWN AND IFORD","Commercial","Community Services","Public Conveniences",411228.9900,92542.8700,"Approved Preferred","Visual centre","KINGS PARK PUBLIC CONVENIENCES, ASHLEY ROAD"
10023870290,"","","HENGISTBURY HEAD PUBLIC CONVENIENCES","","HENGISTBURY HEAD","","BOURNEMOUTH","","HENGISTBURY HEAD PUBLIC CONVENIENCES, HENGISTBURY HEAD, BOURNEMOUTH","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",418076.5500,90759.4800,"Approved Preferred","Visual centre","HENGISTBURY HEAD PUBLIC CONVENIENCES, HENGISTBURY HEAD"
10023870291,"","","EAST OVERCLIFF LIFT PUBLIC CONVENIENCES","","EAST OVERCLIFF DRIVE","","BOURNEMOUTH","","EAST OVERCLIFF LIFT PUBLIC CONVENIENCES, EAST OVERCLIFF DRIVE, BOURNEMOUTH","CENTRAL","Commercial","Community Services","Public Conveniences",409525.6300,90955.1700,"Approved Preferred","Visual centre","EAST OVERCLIFF LIFT PUBLIC CONVENIENCES, EAST OVERCLIFF DRIVE"
10023870292,"","","FIRBANK ROAD PUBLIC CONVENIENCES","","FIRBANK ROAD","","BOURNEMOUTH","","FIRBANK ROAD PUBLIC CONVENIENCES, FIRBANK ROAD, BOURNEMOUTH","WINTON EAST","Commercial","Community Services","Public Conveniences",409844.1900,93642.4700,"Approved Preferred","Visual centre","FIRBANK ROAD PUBLIC CONVENIENCES, FIRBANK ROAD"
10023870293,"","","FISHERMANS WALK GARDENS PUBLIC CONVENIENCES","","FISHERMANS WALK GARDENS","","BOURNEMOUTH","","FISHERMANS WALK GARDENS PUBLIC CONVENIENCES, FISHERMANS WALK GARDENS, BOURNEMOUTH","BOSCOMBE EAST","Commercial","Community Services","Public Conveniences",412935.2000,91813.0800,"Approved Preferred","Visual centre","FISHERMANS WALK GARDENS PUBLIC CONVENIENCES, FISHERMANS WALK GARDENS"
10023870294,"","","FISHERMANS OVERCLIFF PUBLIC CONVENIENCES","","SOUTHBOURNE OVERCLIFF DRIVE","","BOURNEMOUTH","","FISHERMANS OVERCLIFF PUBLIC CONVENIENCES, SOUTHBOURNE OVERCLIFF DRIVE, BOURNEMOUTH","BOSCOMBE EAST","Commercial","Community Services","Public Conveniences",412983.0900,91361.6900,"Approved Preferred","Visual centre","FISHERMANS OVERCLIFF PUBLIC CONVENIENCES, SOUTHBOURNE OVERCLIFF DRIVE"
10023870295,"","","GLEN FERN ROAD PUBLIC CONVENIENCES","","GLEN FERN ROAD","","BOURNEMOUTH","","GLEN FERN ROAD PUBLIC CONVENIENCES, GLEN FERN ROAD, BOURNEMOUTH","CENTRAL","Commercial","Community Services","Public Conveniences",409052.7100,91292.3700,"Approved Preferred","Visual centre","GLEN FERN ROAD PUBLIC CONVENIENCES, GLEN FERN ROAD"
10023870296,"","","LESLIE ROAD PUBLIC CONVENIENCES","","LESLIE ROAD","","BOURNEMOUTH","","LESLIE ROAD PUBLIC CONVENIENCES, LESLIE ROAD, BOURNEMOUTH","WINTON EAST","Commercial","Community Services","Public Conveniences",408564.6100,93486.0100,"Approved Preferred","Visual centre","LESLIE ROAD PUBLIC CONVENIENCES, LESLIE ROAD"
10023870297,"","","LOWER GARDENS PUBLIC CONVENIENCES","","LOWER GARDENS","","BOURNEMOUTH","","LOWER GARDENS PUBLIC CONVENIENCES, LOWER GARDENS, BOURNEMOUTH","CENTRAL","Commercial","Community Services","Public Conveniences",408602.4600,91076.5400,"Approved Preferred","Visual centre","LOWER GARDENS PUBLIC CONVENIENCES, LOWER GARDENS"
10023870298,"","","MALVERN ROAD PUBLIC CONVENIENCES","","MALVERN ROAD","","BOURNEMOUTH","","MALVERN ROAD PUBLIC CONVENIENCES, MALVERN ROAD, BOURNEMOUTH","MOORDOWN","Commercial","Community Services","Public Conveniences",409005.0200,95104.2400,"Approved Preferred","Visual centre","MALVERN ROAD PUBLIC CONVENIENCES, MALVERN ROAD"
10023870299,"","","MILBURN ROAD PUBLIC CONVENIENCES","","MILBURN ROAD","","BOURNEMOUTH","","MILBURN ROAD PUBLIC CONVENIENCES, MILBURN ROAD, BOURNEMOUTH","WESTBOURNE AND WEST CLIFF","Commercial","Community Services","Public Conveniences",406942.5200,91577.8200,"Approved Preferred","Visual centre","MILBURN ROAD PUBLIC CONVENIENCES, MILBURN ROAD"
10023870300,"","","MILLHAMS ROAD PUBLIC CONVENIENCES","","MILLHAMS ROAD","","BOURNEMOUTH","","MILLHAMS ROAD PUBLIC CONVENIENCES, MILLHAMS ROAD, BOURNEMOUTH","KINSON NORTH","Commercial","Community Services","Public Conveniences",407065.8400,96641.3900,"Approved Preferred","Visual centre","MILLHAMS ROAD PUBLIC CONVENIENCES, MILLHAMS ROAD"
10023870301,"","","POOLE HILL PUBLIC CONVENIENCES","","POOLE HILL","","BOURNEMOUTH","","POOLE HILL PUBLIC CONVENIENCES, POOLE HILL, BOURNEMOUTH","WESTBOURNE AND WEST CLIFF","Commercial","Community Services","Public Conveniences",408072.5000,91103.4200,"Approved Preferred","Visual centre","POOLE HILL PUBLIC CONVENIENCES, POOLE HILL"
10023870302,"","","REDHILL PUBLIC CONVENIENCES","","REDHILL AVENUE","","BOURNEMOUTH","","REDHILL PUBLIC CONVENIENCES, REDHILL AVENUE, BOURNEMOUTH","REDHILL AND NORTHBOURNE","Commercial","Community Services","Public Conveniences",408155.6200,94733.6700,"Approved Preferred","Visual centre","REDHILL PUBLIC CONVENIENCES, REDHILL AVENUE"
10023870303,"","","RICHMOND HILL PUBLIC CONVENIENCES","","RICHMOND HILL","","BOURNEMOUTH","","RICHMOND HILL PUBLIC CONVENIENCES, RICHMOND HILL, BOURNEMOUTH","CENTRAL","Commercial","Community Services","Public Conveniences",408851.1600,91395.6100,"Approved Preferred","Visual centre","RICHMOND HILL PUBLIC CONVENIENCES, RICHMOND HILL"
10023870304,"","","SEABOURNE ROAD PUBLIC CONVENIENCES","","SEABOURNE ROAD","","BOURNEMOUTH","","SEABOURNE ROAD PUBLIC CONVENIENCES, SEABOURNE ROAD, BOURNEMOUTH","BOSCOMBE EAST","Commercial","Community Services","Public Conveniences",412510.4291,92359.1117,"Approved Preferred","Visual centre","SEABOURNE ROAD PUBLIC CONVENIENCES, SEABOURNE ROAD"
10023870306,"","","WESTOVER ROAD PUBLIC CONVENIENCES","","WESTOVER ROAD","","BOURNEMOUTH","","WESTOVER ROAD PUBLIC CONVENIENCES, WESTOVER ROAD, BOURNEMOUTH","CENTRAL","Commercial","Community Services","Public Conveniences",408802.3400,91097.1700,"Approved Preferred","Visual centre","WESTOVER ROAD PUBLIC CONVENIENCES, WESTOVER ROAD"
10023870307,"","","BOURNEMOUTH TRAVEL INTERCHANGE PUBLIC CONVENIENCES","","STATION APPROACH","","BOURNEMOUTH","","BOURNEMOUTH TRAVEL INTERCHANGE PUBLIC CONVENIENCES, STATION APPROACH, BOURNEMOUTH","CENTRAL","Commercial","Community Services","Public Conveniences",409644.6800,91902.4500,"Approved Preferred","Visual centre","BOURNEMOUTH TRAVEL INTERCHANGE PUBLIC CONVENIENCES, STATION APPROACH"
10023870308,"","","PELHAMS PARK PUBLIC CONVENIENCES","","PELHAMS PARK","","BOURNEMOUTH","","PELHAMS PARK PUBLIC CONVENIENCES, PELHAMS PARK, BOURNEMOUTH","KINSON NORTH","Commercial","Community Services","Public Conveniences",407091.0900,96850.2200,"Approved Preferred","Visual centre","PELHAMS PARK PUBLIC CONVENIENCES, PELHAMS PARK"
10023870309,"","","RIVERSIDE PUBLIC CONVENIENCES","","WICK LANE","","BOURNEMOUTH","","RIVERSIDE PUBLIC CONVENIENCES, WICK LANE, BOURNEMOUTH","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",415206.0700,92159.2500,"Approved Preferred","Visual centre","RIVERSIDE PUBLIC CONVENIENCES, WICK LANE"
10023870310,"","","SOUTHBOURNE CROSSROADS PUBLIC CONVENIENCES","","SOUTHBOURNE OVERCLIFF DRIVE","","BOURNEMOUTH","","SOUTHBOURNE CROSSROADS PUBLIC CONVENIENCES, SOUTHBOURNE OVERCLIFF DRIVE, BOURNEMOUTH","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",414344.5800,91326.1900,"Approved Preferred","Visual centre","SOUTHBOURNE CROSSROADS PUBLIC CONVENIENCES, SOUTHBOURNE OVERCLIFF DRIVE"
10023870311,"","WALLISDOWN PLAYING FIELDS PUBLIC CONVENIENCES","WALLISDOWN PLAYING FIELDS","","WALLISDOWN ROAD","","BOURNEMOUTH","","WALLISDOWN PLAYING FIELDS PUBLIC CONVENIENCES, WALLISDOWN PLAYING FIELDS, WALLISDOWN ROAD, BOURNEMOUTH","WALLISDOWN AND WINTON WEST","Commercial","Community Services","Public Conveniences",406639.4000,94010.3300,"Approved Preferred","Visual centre","WALLISDOWN PLAYING FIELDS, WALLISDOWN ROAD"
10023870312,"","","WEST OVERCLIFF PUBLIC CONVENIENCES","","WEST OVERCLIFF GARDENS","","BOURNEMOUTH","","WEST OVERCLIFF PUBLIC CONVENIENCES, WEST OVERCLIFF GARDENS, BOURNEMOUTH","WESTBOURNE AND WEST CLIFF","Commercial","Community Services","Public Conveniences",408193.4300,90616.2200,"Approved Preferred","Visual centre","WEST OVERCLIFF PUBLIC CONVENIENCES, WEST OVERCLIFF GARDENS"
10023870313,"","","ALUM CHINE PUBLIC CONVENIENCES","","ALUM CHINE GARDENS","","BOURNEMOUTH","","ALUM CHINE PUBLIC CONVENIENCES, ALUM CHINE GARDENS, BOURNEMOUTH","WESTBOURNE AND WEST CLIFF","Commercial","Community Services","Public Conveniences",407436.8900,90222.2500,"Approved Preferred","Visual centre","ALUM CHINE PUBLIC CONVENIENCES, ALUM CHINE GARDENS"
10023870314,"","","BEDFORD BEACH PUBLIC CONVENIENCES","","SOUTHBOURNE PROMENADE","","BOURNEMOUTH","","BEDFORD BEACH PUBLIC CONVENIENCES, SOUTHBOURNE PROMENADE, BOURNEMOUTH","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",414567.6200,91125.2800,"Approved Preferred","Visual centre","BEDFORD BEACH PUBLIC CONVENIENCES, SOUTHBOURNE PROMENADE"
10023870315,"","","BOSCOMBE EAST PUBLIC CONVENIENCES","","BOSCOMBE PROMENADE","","BOURNEMOUTH","","BOSCOMBE EAST PUBLIC CONVENIENCES, BOSCOMBE PROMENADE, BOURNEMOUTH","BOSCOMBE EAST","Commercial","Community Services","Public Conveniences",411567.8200,91210.8300,"Approved Preferred","Visual centre","BOSCOMBE EAST PUBLIC CONVENIENCES, BOSCOMBE PROMENADE"
10023870316,"","PUBLIC CONVENIENCES","BOSCOMBE PIER","","SEA ROAD","BOSCOMBE","BOURNEMOUTH","","PUBLIC CONVENIENCES, BOSCOMBE PIER, SEA ROAD, BOSCOMBE, BOURNEMOUTH","BOSCOMBE WEST","Commercial","Community Services","Public Conveniences",411157.3700,91136.6100,"Approved Preferred","Visual centre","BOSCOMBE PIER, SEA ROAD"
